Сообщение  @@@ 2  @@@ Привет. Вы попали в iMomYou - виртуальный компаньон для тех, кто проживает период перемен от Freemynd. Он создан профессиональными психологами с любовью и юмором, чтобы поддержать, обнять, посмеяться и погрустить вместе на сложном пути перемен. Познакомимся?  @@@ Привіт. Ви потрапили в Дашок - віртуальний компаньйон для тих, хто проживає період змін від Freemynd. Він створений професійними психологами з любов'ю та гумором, щоб підтримати, обійняти, посміятися та посумувати разом на складному шляху змін. Познайомимося?
Кнопка  @@@ 2  @@@ Конечно!  @@@ Звичайно!
Сообщение  @@@ 3  @@@ Если ты уже приобрела доступ на сайте Freemynd, введи код доступа из письма ниже. А если ты попала сюда случайно, то ты можешь узнать побольше о нашем виртуальном помощнике здесь.  @@@ Якщо ти вже придбала доступ на сайті Freemynd, введи код доступу з листа нижче. А якщо ти потрапила сюди випадково, то ти можеш дізнатися більше про нашого віртуального помічника тут.
Кнопка  @@@ 3  @@@ О боте  @@@ Про бот
Сообщение  @@@ 3  @@@ Привет! Я - гордый птах, Кукуха Дашка! Твоя подруга, соратница, содружница, соучастница, помощница, жилетка и иногда психолог ;). Обниму, пойму, постою рядом, подам руку и не забуду о тебе. Будем вместе латать крышу, вить гнезда, чинить чердак и не допускать протечек скворечника!  @@@ Привіт! Я - гордий птах, Зозуля Дашок! Твій друг, соратник, співдружник, співучасник, помічник, жилетка й іноді психолог ;). Обійму, зрозумію, постою поруч, подам руку і не забуду про тебе. Будемо разом латати дах, вити гнізда, лагодити горище і не допускати протікання шпаківні!
Кнопка  @@@ 3  @@@ Ввести код  @@@ Ввести код
Сообщение  @@@ 4  @@@ "Наш бот - компаньон. Он будет интересоваться твоим самочувствием, давать заботу и поддерджку в разных ситуациях, поможет разобраться в причинах тех или иных эмоциональных проблем и развлечет, и пожалеет. 
 Бот создан профессиональными психологами в схематерапевтическом подходе - через игру, диалог, воображение, юмор, медитации и практики, тесты и упражнения он поддержит маму на непростом пути."  @@@ "Наш бот - компаньйон. Він цікавитиметься твоїм самопочуттям, даруватиме турботу і підтримку в різних ситуаціях, допоможе розібратися в причинах тих чи інших емоційних проблем, розважить і пожаліє. 
 Бот створений професійними психологами у схематерапевтичному підході - через гру, діалог, уяву, гумор, медитації та практики, тести та вправи він підтримає маму на непростому шляху."
Сообщение  @@@ 4  @@@ Жми кнопку и переходи на наш сайт, где ты можешь подробнее узнать и приобрести Дашок!  @@@ Тисни кнопку та переходь на наш сайт, де ти можеш детальніше дізнатися та придбати Дашок!
Кнопка  @@@ 4  @@@ перейти  @@@ перейти
Кнопка  @@@ 4  @@@ Вернуться на ввод кода  @@@ Повернутися на введення коду
Сообщение  @@@ 5  @@@ Неверный код. Попробуйте еще раз  @@@ Неправильний код. Спробуйте ще раз.
Сообщение  @@@ 5  @@@ Введите код  @@@ Введіть код
Сообщение  @@@ 6  @@@ $1, cкажи пожалуйста, у тебя сейчас утро, день или вечер?  @@@ $1, скажи будь ласка, у тебе зараз ранок, день чи вечір?
Кнопка  @@@ 6  @@@ Утро  @@@ Ранок
Кнопка  @@@ 6  @@@ День  @@@ День
Кнопка  @@@ 6  @@@ Вечер  @@@ Вечір
Сообщение  @@@ 7  @@@   @@@ Дякую! Я - Дашок, а як мені до тебе звертатися?
Сообщение  @@@ 8  @@@   @@@ Привіт [ІМ'Я]
Кнопка  @@@ 8  @@@ Давай начнем  @@@ Давай почнемо
