Кнопка  @@@ 2  @@@ Конечно!  @@@ Звичайно!
Кнопка  @@@ 3  @@@ О боте  @@@ Про бот
Кнопка  @@@ 3  @@@ Ввести код  @@@ Ввести код
Кнопка  @@@ 4  @@@ перейти  @@@ перейти
Кнопка  @@@ 4  @@@ Вернуться на ввод кода  @@@ Повернутися на введення коду
Кнопка  @@@ 6  @@@ Утро  @@@ Ранок
Кнопка  @@@ 6  @@@ День  @@@ День
Кнопка  @@@ 6  @@@ Вечер  @@@ Вечір
Кнопка  @@@ 8  @@@ Давай начнем  @@@ Давай почнемо
Кнопка  @@@ 9  @@@ Хорошо  @@@ Добре
Кнопка  @@@ 10  @@@ Ок  @@@ Ок
Кнопка  @@@ 11  @@@ Поняла  @@@ Зрозуміла
Кнопка  @@@ 12  @@@ Ок  @@@ Ок
Кнопка  @@@ 13  @@@ Ок  @@@ Ок
Кнопка  @@@ 14  @@@ Я обращусь за помощью  @@@ Я звернуся по допомогу
Кнопка  @@@ 15  @@@ Звоню!  @@@ Дзвоню!
Кнопка  @@@ 17  @@@ Еле держусь  @@@ Ледве тримаюся
Кнопка  @@@ 17  @@@ Так себе...  @@@ Так собі...
Кнопка  @@@ 18  @@@ Эмоционально тяжело  @@@ Емоційно важко
Кнопка  @@@ 18  @@@ Просто бы отвлечься  @@@ Просто б відволіктися
Кнопка  @@@ 18  @@@ Чувствую себя совершенно истощенной...  @@@ Відчуваю себе абсолютно виснаженою...
Кнопка  @@@ 18  @@@ Да просто не выспалась  @@@ Та просто не виспалася
Кнопка  @@@ 20  @@@ Спасибо, посмотрю  @@@ Дякую, подивлюся
Кнопка  @@@ 20  @@@ Сейчас это не поможет  @@@ Зараз це не допоможе
Кнопка  @@@ 21  @@@ Да!  @@@ Так!
Кнопка  @@@ 21  @@@ Не уверена...  @@@ Не впевнена...
Кнопка  @@@ 22  @@@ Ок!  @@@ Ок!
Кнопка  @@@ 22  @@@ Не сейчас  @@@ Не зараз
Кнопка  @@@ 23  @@@ Ок  @@@ Ок
Кнопка  @@@ 23  @@@ Сейчас не хочу  @@@ Зараз не хочу.
Кнопка  @@@ 24  @@@ Ок  @@@ Ок
Кнопка  @@@ 24  @@@ Нет сил  @@@ Немає сил
Кнопка  @@@ 25  @@@ Конечно  @@@ Звичайно
Кнопка  @@@ 25  @@@ Не хочу пока  @@@ Не хочу поки що
Кнопка  @@@ 27  @@@ Зашибись  @@@ Чудово.
Кнопка  @@@ 27  @@@ Что-то не пойму  @@@ Щось не зрозумію
Кнопка  @@@ 27  @@@ Апстену  @@@ Апстену
Кнопка  @@@ 28  @@@ Сил нет и не будет  @@@ Сил немає і не буде
Кнопка  @@@ 29  @@@ Ок  @@@ Ок
Кнопка  @@@ 29  @@@ Я и так знаю  @@@ Я й так знаю.
Кнопка  @@@ 30  @@@ Ок  @@@ Ок
Кнопка  @@@ 30  @@@ Не сейчас  @@@ Не зараз
Кнопка  @@@ 32  @@@ Я сама не знаю  @@@ Я сама не знаю.
Кнопка  @@@ 32  @@@ Чувствуя себя последним г....  @@@ Відчуваючи себе останнім г....
Кнопка  @@@ 32  @@@ Хочется кого-нибудь прибить!  @@@ Хочеться кого-небудь прибити!
Кнопка  @@@ 32  @@@ Сейчас разревусь...  @@@ Зараз розревуся...
Кнопка  @@@ 32  @@@ ты меня бесишь своими вопросами  @@@ ти мене дратуєш своїми запитаннями
Кнопка  @@@ 33  @@@ Ничего хорошего не случилось  @@@ Нічого хорошого не сталося
Кнопка  @@@ 34  @@@ Я обращусь за помощью  @@@ Я звернуся по допомогу
Кнопка  @@@ 34  @@@ Все пока не так плохо  @@@ Усе поки що не так погано
Кнопка  @@@ 36  @@@ Нисколько...  @@@ Анітрохи...
Кнопка  @@@ 40  @@@ Пропустить  @@@ Пропустити
Кнопка  @@@ 42  @@@ Вот спасибо!  @@@ Дякую!
Кнопка  @@@ 42  @@@ Да вы издеваетесь!  @@@ Та ви знущаєтеся!
Кнопка  @@@ 43  @@@ На Крышу  @@@ На Дах
